"Country","Code","Year","Deaths.in.conflicts","Military.exp.as.percentage.of.GDP"
"Algeria","DZA",1989,0,1.532571
"Algeria","DZA",1990,0,1.4492638
"Algeria","DZA",1991,34,1.4389607
"Algeria","DZA",1992,257,3.9325333
"Algeria","DZA",1993,826,2.237411
"Algeria","DZA",1994,1916,3.065495
"Algeria","DZA",1995,3035,3.4160855
"Algeria","DZA",1996,1084,3.9167342
"Algeria","DZA",1997,2008,4.3850298
"Algeria","DZA",1998,3281,6.4802055
"Algeria","DZA",1999,1156,6.3443899
"Algeria","DZA",2000,1191,5.4481392
"Algeria","DZA",2001,674,5.7514091
"Algeria","DZA",2002,1049,3.6876945
"Algeria","DZA",2003,704,3.2458611
"Algeria","DZA",2004,484,3.2854531
"Algeria","DZA",2005,217,2.7854846
"Algeria","DZA",2006,292,2.6410084
"Algeria","DZA",2007,531,3.1617024
"Algeria","DZA",2008,345,3.0029156
"Algeria","DZA",2009,544,3.8297114
"Algeria","DZA",2010,236,3.4677966
"Algeria","DZA",2011,261,4.3278198
"Algeria","DZA",2012,258,4.4450002
"Algeria","DZA",2013,226,4.8438454
"Algeria","DZA",2014,107,5.5439959
"Algeria","DZA",2015,128,6.3158984
"Algeria","DZA",2016,85,6.5467024
"Burundi","BDI",1989,0,1.2547461
"Burundi","BDI",1990,0,1.1381646
"Burundi","BDI",1991,342,1.2760229
"Burundi","BDI",1993,4074,1.4363439
"Burundi","BDI",1994,483,1.7811849
"Burundi","BDI",1995,1630,2.2985251
"Burundi","BDI",1996,3235,2.9895089
"Burundi","BDI",1997,1620,4.3655348
"Burundi","BDI",1998,1363,4.5838785
"Burundi","BDI",1999,1009,4.2693243
"Burundi","BDI",2000,2006,2.4092484
"Burundi","BDI",2001,1231,1.9956475
"Burundi","BDI",2002,1523,3.6866531
"Burundi","BDI",2003,1246,2.6724136
"Burundi","BDI",2004,677,2.3476534
"Burundi","BDI",2005,378,2.8617384
"Burundi","BDI",2006,177,2.9011338
"Burundi","BDI",2007,52,2.874306
"Burundi","BDI",2008,201,2.5531523
"Burundi","BDI",2009,0,1.2010567
"Burundi","BDI",2010,0,1.3812811
"Burundi","BDI",2011,0,1.3363147
"Burundi","BDI",2012,0,1.2495679
"Burundi","BDI",2013,0,2.2420094
"Burundi","BDI",2014,56,2.0098422
"Burundi","BDI",2015,264,2.1361611
"Burundi","BDI",2016,72,2.2078493
"Chad","TCD",1989,50,4.0381494
"Chad","TCD",1990,263,3.393688
"Chad","TCD",1991,95,1.1150395
"Chad","TCD",1992,1190,1.8658296
"Chad","TCD",1993,313,2.6139681
"Chad","TCD",1994,510,2.4544649
"Chad","TCD",1995,47,2.3509426
"Chad","TCD",1996,0,2.4866459
"Chad","TCD",1997,137,2.7819052
"Chad","TCD",1998,179,3.6653132
"Chad","TCD",1999,394,3.0624909
"Chad","TCD",2000,844,1.0094483
"Chad","TCD",2001,230,0.76042557
"Chad","TCD",2002,297,1.7066288
"Chad","TCD",2003,224,1.4959763
"Chad","TCD",2004,221,1.0639294
"Chad","TCD",2005,265,0.8418166
"Chad","TCD",2006,1654,0.79356247
"Chad","TCD",2007,280,0.80984563
"Chad","TCD",2008,991,1.3888061
"Chad","TCD",2009,135,1.5269401
"Chad","TCD",2010,4,2.0827544
"Chad","TCD",2011,0,1.4550512
"Chad","TCD",2012,0,1.6276598
"Chad","TCD",2013,0,5.6097884
"Chad","TCD",2014,6,2.8183928
"Chad","TCD",2015,389,2.0294483
